City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saskylakh,RU,71.9167,114.0833,-26.91,100,25,3.4,scattered clouds
80,Hofn,IS,64.2539,-15.2082,17.24,52,70,14.99,broken clouds
81,Bluff,NZ,-46.6,168.3333,55.99,79,80,10.0,broken clouds
82,Mokrousovo,RU,55.8103,66.7653,32.97,97,100,9.62,overcast clouds
83,Yellowknife,CA,62.456,-114.3525,18.0,57,20,8.05,few clouds
84,Sitka,US,57.0531,-135.33,37.4,93,90,6.91,light rain
85,Albany,US,42.6001,-73.9662,55.99,23,36,1.99,scattered clouds
86,Mahebourg,MU,-20.4081,57.7,81.0,74,11,5.99,few clouds
87,Butaritari,KI,3.0707,172.7902,81.28,79,50,10.07,light rain
88,Pangnirtung,CA,66.1451,-65.7125,12.2,57,75,9.22,snow
89,Verkhnevilyuysk,RU,63.4453,120.3167,-22.41,100,99,2.82,overcast clouds
90,Castro,BR,-24.7911,-50.0119,73.27,52,52,5.82,broken clouds
91,Bereda,ES,43.2686,-7.5406,55.99,76,5,14.0,clear sky
92,Camacupa,AO,-12.0167,17.4833,65.5,76,67,4.88,broken clouds
93,Kodiak,US,57.79,-152.4072,33.8,80,20,3.44,few clouds
94,Inta,RU,66.0317,60.1659,23.59,94,100,7.27,overcast clouds
95,General Roca,AR,-39.0333,-67.5833,82.4,51,0,2.3,clear sky
96,Faanui,PF,-16.4833,-151.75,81.37,76,25,9.98,scattered clouds
97,Saint-Paul,RE,-21.0096,55.2707,78.8,78,40,12.66,scattered clouds
98,Tiksi,RU,71.6872,128.8694,-21.06,100,83,4.68,broken clouds
99,Chokurdakh,RU,70.6333,147.9167,-29.06,100,26,4.32,scattered clouds
100,Gambela,ET,8.25,34.5833,85.17,49,70,3.87,broken clouds
101,New Norfolk,AU,-42.7826,147.0587,55.99,67,98,3.0,overcast clouds
102,Kapaa,US,22.0752,-159.319,73.4,68,90,19.57,overcast clouds
103,Khandyga,RU,62.6667,135.6,-29.92,100,35,1.23,scattered clouds
104,Yarovoye,RU,52.9273,78.58,23.43,90,60,9.01,broken clouds
105,Port Alfred,ZA,-33.5906,26.891,66.2,86,0,12.57,clear sky
106,Namatanai,PG,-3.6667,152.4333,77.76,85,94,5.66,moderate rain
107,Atar,MR,20.5169,-13.0499,98.74,10,92,14.05,overcast clouds
108,Kefamenanu,ID,-9.4467,124.4781,72.91,95,100,20.18,light rain
109,Maniitsoq,GL,65.4167,-52.9,32.2,97,100,33.2,snow
110,Eirunepe,BR,-6.6603,-69.8736,81.95,78,96,2.53,overcast clouds
111,Cayenne,GF,4.9333,-52.3333,80.6,89,75,9.22,moderate rain
112,Antofagasta,CL,-23.65,-70.4,73.99,60,0,11.5,clear sky
113,Mehamn,NO,71.0357,27.8492,33.8,93,75,5.75,broken clouds
114,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,60,90,3.44,overcast clouds
115,Ixtapa,MX,20.7,-105.2,84.2,48,1,8.05,clear sky
116,Yanam,IN,16.7333,82.2167,77.54,95,78,3.74,broken clouds
117,Tambopata,PE,-12.7333,-69.1833,82.4,78,75,4.61,broken clouds
118,Cherskiy,RU,68.75,161.3,-15.99,100,96,3.27,overcast clouds
119,Ko Samui,TH,9.5357,99.9357,82.35,72,87,1.66,overcast clouds
120,San Felipe,VE,10.3399,-68.7425,85.73,57,100,6.91,overcast clouds
121,Thompson,CA,55.7435,-97.8558,32.0,40,40,2.3,scattered clouds
122,Wewak,PG,-3.5534,143.6268,77.85,87,100,5.28,overcast clouds
123,Vila Velha,BR,-20.3297,-40.2925,82.4,65,20,16.11,few clouds
124,San Blas,MX,21.5167,-105.2667,84.2,34,1,3.44,clear sky
125,Upington,ZA,-28.4478,21.2561,84.2,24,0,3.44,clear sky
126,Port Lincoln,AU,-34.7333,135.8667,62.47,83,0,11.77,light rain
127,Poros,GR,37.4994,23.4536,68.0,63,73,3.0,broken clouds
128,Bataipora,BR,-22.2953,-53.2711,88.02,37,61,6.53,broken clouds
129,Aktau,KZ,43.65,51.2,46.4,87,0,6.71,clear sky
130,Nikolskoye,RU,59.7035,30.7861,42.01,70,75,8.95,broken clouds
131,La Ronge,CA,55.1001,-105.2842,37.4,86,90,9.22,overcast clouds
132,Adrar,MR,20.5022,-10.0711,94.86,11,68,7.94,broken clouds
133,Nanortalik,GL,60.1432,-45.2371,37.42,79,92,10.96,overcast clouds
